,PostOfficeName,Pincode,DistrictsName,City,State
29361,Dungarpur,314001.0,Dungarpur,Dungarpur,Rajasthan
29362,Dungarpur City,314001.0,Dungarpur,Dungarpur,Rajasthan
29363,Dungarpur Gepsagar,314001.0,Dungarpur,Dungarpur,Rajasthan
29364,Dungarpur Sabzi Mandi,314001.0,Dungarpur,Dungarpur,Rajasthan
29365,Duni,304802.0,Tonk,Tonk,Rajasthan
29366,Durgapura,302015.0,Jaipur,Jaipur,Rajasthan
29367,Dwarka Puri,302016.0,Jaipur,Jaipur,Rajasthan
29368,East Gate Ratangarh,331022.0,Churu,Churu,Rajasthan
29369,Engineering College,342001.0,Jodhpur,Jodhpur,Rajasthan
29370,Etawa Bhopji,303804.0,Jaipur,Jaipur,Rajasthan
29371,Falna,306116.0,Pali,Pali,Rajasthan
29372,Falna Industrial Estate,306116.0,Pali,Pali,Rajasthan
29373,Fatehgarh,305412.0,Ajmer,Ajmer,Rajasthan
29374,Fatehpur Bazar,332301.0,Sikar,Sikar,Rajasthan
29375,Fatehpur Kota,325208.0,Kota,Kota,Rajasthan
29376,Fatehpur Sekhawati,332301.0,Sikar,Sikar,Rajasthan
29377,Fatehpura,313001.0,Udaipur,Udaipur,Rajasthan
29378,Fatehsinghpur,322252.0,Swaimadhopur,Swaimadhopur,Rajasthan
29379,Fatel Nagar,313205.0,Udaipur,Udaipur,Rajasthan
29380,G C Road Ajmer,305007.0,Ajmer,Ajmer,Rajasthan
29381,G C Tonk,304001.0,Tonk,Tonk,Rajasthan
29382,Gachhipura,341504.0,Nagaur,Nagaur,Rajasthan
29383,Gadoli,321603.0,Bharatpur,Bharatpur,Rajasthan
29384,Gadra Road,344501.0,Barmer,Barmer,Rajasthan
29385,Gagaria,344030.0,Barmer,Barmer,Rajasthan
29386,Gagwana,305023.0,Ajmer,Ajmer,Rajasthan
29387,Gajner Palace,334301.0,Bikaner,Bikaner,Rajasthan
29388,Gajsinghpur,335024.0,Ganganagar,Gajsinghpur,Rajasthan
29389,Galiakot,314026.0,Dungarpur,Galiakot,Rajasthan
29390,Galiakot Colony,314025.0,Dungarpur,Dungarpur,Rajasthan
29391,Gandala,301709.0,Alwar,Alwar,Rajasthan
29392,Gandhi Maidan,342003.0,Jodhpur,Jodhpur,Rajasthan
29393,Gandhi Nagar,324004.0,Kota,Kota,Rajasthan
29394,Gandhi Nagar Madanganj,305801.0,Ajmer,Ajmer,Rajasthan
